channel_id,channel_name,created_at,country,playlist_id,view_count,subscriber_count,video_count
UChfs1dQ5phBDBWZJ1hHLbUA,아빠킹,2011-07-15T06:19:52Z,KR,UUhfs1dQ5phBDBWZJ1hHLbUA,405032510,314000,4647
UCPoEVLrQMMXICwULGDwfvug,성대의 게임방송,2013-01-02T05:54:31Z,KR,UUPoEVLrQMMXICwULGDwfvug,47951637,42500,2126
UCiCNc3uj8Bnc9bDzHJS058Q,신해조,2016-12-14T15:31:59Z,KR,UUiCNc3uj8Bnc9bDzHJS058Q,184669274,242000,1030
UCF7IBIvHZ2be4Ufo8i0uHBw,학살 HAKSAL,2017-02-16T14:59:06Z,KR,UUF7IBIvHZ2be4Ufo8i0uHBw,90765856,183000,734
UCNYV6yOqwfY863iKiGVjGGQ,스나랑Snarang,2020-04-22T15:08:18.35826Z,KR,UUNYV6yOqwfY863iKiGVjGGQ,5135609,35100,160
UCoIoRtXGGPCaOE0qQHKXjvw,에스카,2014-06-20T08:02:40Z,KR,UUoIoRtXGGPCaOE0qQHKXjvw,13820496,93200,104
UCcstDLbuhxEbFKkPZ6wST2A,정동글,2016-09-14T08:27:27Z,KR,UUcstDLbuhxEbFKkPZ6wST2A,92458728,132000,2266
UCJya4-GyYqW4B6uXwB3ryMw,인섹,2019-03-09T14:41:17Z,KR,UUJya4-GyYqW4B6uXwB3ryMw,59116800,62600,941
UCWOx-QEaE9bjGHhO5J1mgpQ,흐쟁이,2015-08-31T10:50:17Z,KR,UUWOx-QEaE9bjGHhO5J1mgpQ,110612057,68500,3641
UCghcdI8LE9qExmfSBubfTKw,강인경,2023-06-29T06:24:10.519764Z,KR,UUghcdI8LE9qExmfSBubfTKw,20767074,94600,199
UCfbd9LmpMKe8NFMOHK5ulLQ,official miya,2015-11-05T15:54:22Z,,UUfbd9LmpMKe8NFMOHK5ulLQ,22820418,126000,80
UCo6ImobU2AMzNYBcQsKOMow,도개,2018-10-07T08:14:09Z,KR,UUo6ImobU2AMzNYBcQsKOMow,732505,57600,32
UCKiCT33Gmj3mlJ5xh-9ZUqw,이재석,2019-04-09T00:09:44Z,KR,UUKiCT33Gmj3mlJ5xh-9ZUqw,83272085,138000,842
UCRZURXN2vyCYzB9eYbSKQiw,이클리피아,2014-06-08T00:39:07Z,KR,UURZURXN2vyCYzB9eYbSKQiw,151285592,141000,12551
UCs__feigbD4dyUjkwejA1sw,롤하는 로봇,2016-03-16T08:44:24Z,,UUs__feigbD4dyUjkwejA1sw,32666606,55900,462
UCwEj8YSHfHfcLdwyrHoIFCw,링규링규링,2020-05-09T23:23:32.293612Z,KR,UUwEj8YSHfHfcLdwyrHoIFCw,58281452,87600,805
UC3wA0h62pmP7wxSGRNMQTvQ,삐야기,2021-07-06T11:01:53.011101Z,KR,UU3wA0h62pmP7wxSGRNMQTvQ,667901378,586000,3484
UCIJswzd07JQofhj7MpRBjKQ,THIRD[롤 백과사전],2020-10-25T10:54:00.898614Z,KR,UUIJswzd07JQofhj7MpRBjKQ,319910198,241000,975
UConOmISJY0oZHRhWGyvdQ2A,핑맨,2013-12-26T18:21:08Z,,UUonOmISJY0oZHRhWGyvdQ2A,241320798,527000,1349
UCLpmJvM-7IUYM9lpvj6WZDg,모양몬 Moyangmon,2020-05-18T13:50:52.314978Z,KR,UULpmJvM-7IUYM9lpvj6WZDg,69336279,98000,597
UCQreDC73rqiw1wSc_ZYwgHA,블루위키,2013-06-13T15:32:48Z,KR,UUQreDC73rqiw1wSc_ZYwgHA,537904568,521000,1511
UCXmdpmRnf5WKMssvByY2Elg,김용녀,2014-08-27T03:45:15Z,KR,UUXmdpmRnf5WKMssvByY2Elg,270386768,220000,8551
UCUjLgTTrdIEZ9AswWVkbPlw,제갈병춘,2020-09-09T16:43:32.129173Z,KR,UUUjLgTTrdIEZ9AswWVkbPlw,53417533,122000,148
UCD8r5Jgns2V64-NcUmXclpg,전쓰트의 게임 채널 Junsst,2019-04-13T20:59:13Z,KR,UUD8r5Jgns2V64-NcUmXclpg,726943469,557000,3490
UC5WxymH7e2H_SGjJyvTb-iA,Project LOL,2016-03-02T04:48:11Z,KR,UU5WxymH7e2H_SGjJyvTb-iA,284521,260000,18
UC9Qwjghb-J-GGY6sr_-31gw,후즈의 방주,2020-12-12T13:42:40.403979Z,KR,UU9Qwjghb-J-GGY6sr_-31gw,178433,1960,560
UCZ6IM7_T-bCmr_7DgAKjYxg,피닉스박,2014-05-18T05:43:41Z,KR,UUZ6IM7_T-bCmr_7DgAKjYxg,160712484,247000,1478
UCkpKYfb8wM67QnKxBj9bZXA,추털이,2013-06-10T14:04:07Z,KR,UUkpKYfb8wM67QnKxBj9bZXA,37738615,141000,287
UCnNxAvUmdeTi437c7PrjKDw,ATK,2013-08-14T23:41:26Z,US,UUnNxAvUmdeTi437c7PrjKDw,25499872,58700,521
UC-9v2ASxz8f313YpiMF55eg,김데데,2019-02-27T05:07:19Z,KR,UU-9v2ASxz8f313YpiMF55eg,81772872,173000,796
UCJoWNCiFuiN4eZnB80WUf4Q,꼬예유 & 한예찬의 게임저장소,2014-07-14T02:40:17Z,KR,UUJoWNCiFuiN4eZnB80WUf4Q,276152360,351000,2006
UCJpAwvQaZyCI5spAz7tipGA,PAKA,2019-08-14T13:37:40Z,KR,UUJpAwvQaZyCI5spAz7tipGA,650136628,745000,850
UCHnd1_qmZbk0abU8oQGj5xw,소행성612,2018-09-06T14:31:53Z,KR,UUHnd1_qmZbk0abU8oQGj5xw,17199788,58600,511
UCcaichs3pJ3d3uDYtNxV-fg,Cov,2013-08-03T06:12:52Z,,UUcaichs3pJ3d3uDYtNxV-fg,38406,220,29
UCVJT18d9wSCnDUdnJ9ycO7Q,동수칸TV,2016-06-03T10:50:35Z,KR,UUVJT18d9wSCnDUdnJ9ycO7Q,497987436,509000,5382
UCf_nC60gzDBkO8yP3aX_Hcg,지보배 KR Bobae,2021-07-10T15:47:12.183675Z,KR,UUf_nC60gzDBkO8yP3aX_Hcg,22627822,63600,802
UCs0LzOveQMLImmmTrMmP2sg,채널 명예훈장,2014-01-06T06:31:13Z,KR,UUs0LzOveQMLImmmTrMmP2sg,398307206,432000,2542
UCaiyyjmlyH70au7pzKE4jnQ,TV헤이스트,2018-06-07T02:29:04Z,KR,UUaiyyjmlyH70au7pzKE4jnQ,170579521,155000,1977
UCpCBP5cVIBvezPI1LKFMYjA,냄새,2016-11-07T12:00:15Z,KR,UUpCBP5cVIBvezPI1LKFMYjA,115613879,272000,817
UCDBAVzfX3yZ1hah0FHnOoaA,괴물쥐 유튜브,2019-01-25T16:35:22Z,KR,UUDBAVzfX3yZ1hah0FHnOoaA,1308509163,1140000,1615
UCVZI7eLie2UlZph6aiBRNrw,이석현,2013-10-02T13:56:18Z,KR,UUVZI7eLie2UlZph6aiBRNrw,459785013,530000,4451
UC4q2QOe3Ht73lVO-31JnkQQ,코뚱잉,2019-04-29T06:19:48Z,KR,UU4q2QOe3Ht73lVO-31JnkQQ,201533040,402000,938
UCtJpqaQ0XAmX5uYZ48crOdQ,모아요,2016-07-30T14:29:40Z,KR,UUtJpqaQ0XAmX5uYZ48crOdQ,243584638,454000,477
UCzjp53OM5d3QOB8_D6-teBw,죠니월드,2017-01-05T10:19:24Z,KR,UUzjp53OM5d3QOB8_D6-teBw,126556429,248000,796
UC5KRc5ziRklBZr847171mGA,미남홀란드,2022-03-10T05:48:41.745961Z,KR,UU5KRc5ziRklBZr847171mGA,196079987,183000,874
UCtt0Hg9MhraTkzWwNQpplHg,ryujehong,2014-01-21T18:26:26Z,KR,UUtt0Hg9MhraTkzWwNQpplHg,115957679,219000,2264
UC-3GPiUGCTQkVuxAYR9qpwQ,조강현 스틸로,2016-10-30T12:29:25Z,KR,UU-3GPiUGCTQkVuxAYR9qpwQ,21109061,36500,246
UCD2YO_A_PVMgMDN9jpRrpVA,랄로,2013-11-14T05:32:35Z,KR,UUD2YO_A_PVMgMDN9jpRrpVA,751282116,1240000,513
UC-aMc9rzifR_0LoCLyLWEgg,MakNooN 막눈,2010-06-22T12:45:21Z,KR,UU-aMc9rzifR_0LoCLyLWEgg,44413866,47600,1905
UCZRH94I89Ps7giJYeK6DlWA,버니버니,2017-02-08T12:51:33Z,KR,UUZRH94I89Ps7giJYeK6DlWA,199374816,349000,1000
UCMRMGruCyWkmF5mp0u0-A7w,른쿄&캔커피,2013-10-03T13:04:50Z,,UUMRMGruCyWkmF5mp0u0-A7w,1510997,3120,632
UCsTRHAo-pfbXOQt8rIAFpGQ,1타법사,2013-04-26T02:22:42Z,,UUsTRHAo-pfbXOQt8rIAFpGQ,21372685,20900,968
UClY2gt8hKK9uslND8Tur_1w,정령왕,2021-06-28T08:46:59.350625Z,KR,UUlY2gt8hKK9uslND8Tur_1w,2875559,7080,124
UCyXnkm3Y3gGNtmT1NzWyU7A,멀럭킹의 게임 유튜브,2014-10-26T18:23:24Z,KR,UUyXnkm3Y3gGNtmT1NzWyU7A,8976039,9230,6038
UC0RKbJ4MdTBlgpyfhkmDgCA,돌카사,2017-08-26T03:59:05Z,KR,UU0RKbJ4MdTBlgpyfhkmDgCA,1321180,5300,538
UC8pxlRLYmYPMctqHyM_-3Ow,꼴랑이 김남제 유튜브 ,2021-04-22T10:08:00.981991Z,KR,UU8pxlRLYmYPMctqHyM_-3Ow,3156474,5310,279
UCaX4Q7_ek4pI0673DU34pcQ,순규박 GyuPac,2019-03-04T11:08:14Z,KR,UUaX4Q7_ek4pI0673DU34pcQ,19229214,25300,1262
UCy6AFsqX2J8AoQXAyUS927w,2수연,2020-05-05T08:53:15.92263Z,KR,UUy6AFsqX2J8AoQXAyUS927w,3912953,17700,821
UC8pqDEzjWIqWFHH_0mqcuZw,종원TV,2013-10-20T05:04:38Z,KR,UU8pqDEzjWIqWFHH_0mqcuZw,25366622,28700,1895
UCDsQ_kjKTMaoRQWc7aOWvJg,찬우정,2012-09-04T04:14:18Z,KR,UUDsQ_kjKTMaoRQWc7aOWvJg,0,2320,0
UC27Z9W0awxpHEksB7KyJKnw,핑크자크,2018-04-02T17:48:04Z,KR,UU27Z9W0awxpHEksB7KyJKnw,577212,1400,122
UCCL5nxApyVxV_RyhpASLqhg,또시 DDOSI [엘리스 1위],2015-05-12T13:06:42Z,KR,UUCL5nxApyVxV_RyhpASLqhg,2558069,3920,287
UC20DvGobETQDG_JG048JWAw,풍근돼지 윤가놈 아카이브,2019-07-26T03:30:36Z,KR,UU20DvGobETQDG_JG048JWAw,9290049,14200,378
UCLA_cjXIGW3cBIFDO1iRv-w,고수달,2021-10-19T05:23:50.672032Z,KR,UULA_cjXIGW3cBIFDO1iRv-w,12807827,29000,386
UCzfkO3aTWn3YJYXk9we7xXw,MuMu,2012-08-12T00:04:35Z,BR,UUzfkO3aTWn3YJYXk9we7xXw,29813835,129000,2609
UCZufgkvPMShfQXHoDvrUEJA,[헬튜브] 헬리오스 TV,2019-01-07T13:20:40Z,,UUZufgkvPMShfQXHoDvrUEJA,255436,3430,66
UCybn_0S0Ec6Il1ZhiQM1Vww,지명,2014-06-04T21:59:37Z,KR,UUybn_0S0Ec6Il1ZhiQM1Vww,11988014,37700,199
UCbfweOUEhEg1D0CGkAnH-nQ,치지직송사리,2014-07-23T12:41:22Z,KR,UUbfweOUEhEg1D0CGkAnH-nQ,572646,6540,29
