"name","subscriber_count","total_views","avg_views_per_video"
"랄로","1240000","751282116","1465619.62"
"괴물쥐","1140000","1308509163","809671.25"
"PAKA","745000","650136628","765685.42"
"모아요","454000","243584638","509630.22"
"제갈병춘","122000","53417533","361041.11"
"블루위키","521000","537904568","359256.45"
"THIRD","241000","319910198","329709.45"
"미야","126000","22820418","281772.25"
"핑맨","527000","241320798","237300.61"
"미남홀란드","183000","196079987","224364.20"
"코뚱잉","402000","201533040","214739.34"
"전쓰트","557000","726943469","210654.40"
"버니버니","349000","199374816","199439.55"
"삐야기","586000","667901378","191795.90"
"신해조","242000","184669274","182931.83"
"죠니월드","248000","126556429","158614.74"
"명훈","432000","398307206","157310.44"
"냄새","272000","115613879","141091.29"
"꼬예유","351000","276152360","137690.42"
"추털이","141000","37738615","136775.98"
"학살","183000","90765856","123502.53"
"모양몬","98000","69336279","120727.96"
"피닉스박","247000","160712484","108710.12"
"강인경","94600","20767074","104694.46"
"이석현","530000","459785013","103317.90"
"김데데","173000","81772872","102801.04"
"이재석","138000","83272085","98903.80"
"한동숙","509000","497987436","93368.69"
"아빠킹","314000","405032510","87146.67"
"헤이스트","155000","170579521","86261.03"
"스틸로","36500","21109061","85751.50"
"링규링규링","87600","58281452","72451.89"
"류제홍","219000","115957679","67734.89"
"인섹","62600","59116800","62794.13"
"지명","37700","11988014","60357.98"
"ATK","58700","25499872","49253.82"
"정동글","132000","92458728","43213.28"
"소행성612","58600","17199788","41520.55"
"스나랑","35100","5135609","34049.44"
"고수달","29000","12807827","33200.28"
"김용녀","220000","270386768","32016.89"
"흐쟁이","68500","110612057","30380.42"
"지보배","63600","22627822","29309.87"
"윤가놈","14200","9290049","24614.08"
"막눈","47600","44413866","23262.77"
"도개","57600","732505","22197.61"
"종원TV","28700","25366622","19954.41"
"송사리","6540","572646","18515.26"
"순규박","25300","19229214","15248.27"
"프로젝트롤","260000","284521","15077.42"
"이클리피아","141000","151285592","12047.87"
"꼴랑이","5310","3156474","11320.10"
"또시","3920","2558069","8882.64"
"2수연","17700","3912953","6673.51"
"핑크자크","1400","577212","4762.69"
"돌카사","5300","1321180","2464.48"
"른쿄","3120","1510997","2390.33"
"멀럭킹","9230","8976039","1486.03"
"후즈","1960","178433","318.91"
