"category_name","category_count","avg_view_count"
"Film & Animation","164","402463.92"
"Music","20","330440.15"
"Sports","64","270685.94"
"Entertainment","892","243633.01"
"Science & Technology","13","242336.62"
"Comedy","279","234979.70"
"Howto & Style","48","174697.10"
"Gaming","87663","111964.30"
"Pets & Animals","74","75284.61"
"People & Blogs","2737","66833.52"
"News & Politics","3","44793.67"
"Travel & Events","25","38719.84"
"Education","107","33197.67"
"Autos & Vehicles","18","139.17"
